PM2.5,PM10,NO,NO2,NOx,CO,AQI_Bucket
91.07,139.15,13.71,24.28,28.73,10.64,Moderate
106.57,196.19,25.97,31.12,45.48,9.36,Poor
101.75,163.14,20.56,26.59,34.17,10.55,Very Poor
77.57,90.54,12.07,19.15,24.66,9.48,Poor
63.24,80.2,13.52,20.35,27.44,8.19,Moderate
76.62,117.38,10.49,18.21,22.84,9.02,Moderate
86.7,150.92,11.44,18.82,25.78,7.98,Poor
104.29,176.2,14.94,25.63,32.66,10.76,Poor
115.93,203.75,18.48,32.29,37.84,11.3,Very Poor
108.66,173.89,15.61,30.75,37.02,10.23,Very Poor
